city,artist,venue,weekend,pop,month,score,genre,minprice
Miami,Taylor Swift,Hard Rock Stadium,1,417650,8,89,Rock,49.5
Foxborough,Taylor Swift,Gillette Stadium,0,???,7,89,Rock,49.5
East Rutherford,Taylor Swift,MetLife Stadium,1,???,7,89,Rock,49.5
Philadelphia,Taylor Swift,Lincoln Financial Field,0,1553165,7,89,Rock,45.5
Indianapolis,Taylor Swift,Lucas Oil Stadium,1,843393,9,89,Rock,46.5
Landover,Taylor Swift,FedExField,0,???,7,89,Rock,44.0
Louisville,Taylor Swift,Papa Johns Cardinal Stadium,1,609893,6,89,Rock,43.5
Albuquerque,Ty Dolla $ign,Isleta Amphitheater,1,556495,8,92,Hip-Hop/Rap,29.5
Ridgefield,Ty Dolla $ign,Sunlight Supply Amphitheater,1,???,7,92,Hip-Hop/Rap,29.5
Las Vegas,Savage,Park Theater,0,226877,6,89,Hip-Hop/Rap,90.0
Columbus,Savage,Newport Music Hall,1,202824,9,89,Dance/Electronic,23.0
Mansfield,Lynyrd Skynyrd,Xfinity Center,0,60872,7,74,Rock,29.5
Seattle,Savage,Neptune Theatre,0,652405,10,89,Dance/Electronic,30.0
New York,Savage,Irving Plaza presented by Cricket Wireless,1,52122,9,89,Dance/Electronic,30.0
Wilmington,Savage,The Queen,1,112067,9,89,Dance/Electronic,29.5
Atlanta,Ty Dolla $ign,Cellairis Amphitheatre at Lakewood,0,447841,9,92,Hip-Hop/Rap,29.5
Philadelphia,Ty Dolla $ign,Made in America Venue,1,1553165,9,92,Undefined,125.0
Wheatland,Ty Dolla $ign,Toyota Amphitheatre,1,???,7,92,Hip-Hop/Rap,29.5
Auburn,Ty Dolla $ign,White River Amphitheatre,0,74860,7,92,Hip-Hop/Rap,29.5
Irvine,Ty Dolla $ign,FivePoint Amphitheatre,0,236716,7,92,Hip-Hop/Rap,39.5
Bristow,Keith Urban,Jiffy Lube Live,1,???,8,77,Country,39.25
Noblesville,Ty Dolla $ign,Ruoff Home Mortgage Music Center,0,56540,8,92,Hip-Hop/Rap,28.5
Holmdel,Ty Dolla $ign,PNC Bank Arts Center,0,???,8,92,Hip-Hop/Rap,29.5
Amsterdam,Demi Lovato,sin información,1,???,6,88,Family,18.0
Amsterdam,Demi Lovato,sin información,1,???,6,88,Family,13.2
Amsterdam,Demi Lovato,sin información,0,???,6,88,Family,18.0
Amsterdam,Demi Lovato,sin información,0,???,6,88,Family,13.2
Las Vegas,Florida Georgia Line,Zappos Theater at Planet Hollywood,0,226877,12,85,Country,49.0
Amsterdam,Demi Lovato,sin información,0,???,6,88,Rock,40.7
Atlantic City,Demi Lovato,Atlantic City Beach,1,39551,7,88,Other,75.0
Atlantic City,Florida Georgia Line,Mark G Etess Arena at Hard Rock Hotel & Casino,0,39551,7,85,Country,89.0
Thackerville,Florida Georgia Line,The Colosseum at WinStar,0,???,8,85,Country,75.0
Atlantic City,Florida Georgia Line,Mark G Etess Arena at Hard Rock Hotel & Casino,1,39551,7,85,Country,89.0
Milwaukee,Florida Georgia Line,American Family Insurance Amphitheater-Summerfest,1,599164,6,85,Country,60.07
Las Vegas,Florida Georgia Line,Zappos Theater at Planet Hollywood,1,226877,12,85,Country,49.0
Youngstown,Florida Georgia Line,Stambaugh Stadium,1,65184,8,85,Country,45.0
Foxborough,Camila Cabello,Gillette Stadium,0,???,7,88,Rock,49.5
Nashville,Camila Cabello,Nissan Stadium,1,634464,8,88,Rock,46.5
Mí©xico,The Weeknd,Palacio de los Deportes,1,91956,10,93,Hip-Hop/Rap,480.0
Mí©xico,The Weeknd,Palacio de los Deportes,1,91956,10,93,Hip-Hop/Rap,1790.0
Mí©xico,The Weeknd,Palacio de los Deportes,0,91956,10,93,Hip-Hop/Rap,988.0
Mí©xico,The Weeknd,Palacio de los Deportes,0,91956,10,93,Hip-Hop/Rap,1988.0
Bangor,NF,Darling's Waterfront Pavilion,1,???,6,81,Hip-Hop/Rap,25.0
Monterrey,The Weeknd,Parque Fundidora,1,???,10,93,Undefined,780.0
Uncasville,Camila Cabello,Mohegan Sun Arena,0,???,7,88,Rock,29.0
Indianapolis,Camila Cabello,Lucas Oil Stadium,1,843393,9,88,Rock,46.5
Philadelphia,Camila Cabello,Lincoln Financial Field,0,1553165,7,88,Rock,45.5
Louisville,Camila Cabello,Papa Johns Cardinal Stadium,1,609893,6,88,Rock,43.5
Landover,Camila Cabello,FedExField,0,???,7,88,Rock,44.0
Miami,Camila Cabello,Hard Rock Stadium,1,417650,8,88,Rock,49.5
Arlington,Camila Cabello,AT&T Stadium,0,75994,10,88,Rock,49.5
East Rutherford,Camila Cabello,MetLife Stadium,1,???,7,88,Rock,49.5
Tuscaloosa,Jason Aldean,Tuscaloosa Amphitheater,0,95334,7,79,Country,39.5
Chula Vista,Jason Aldean,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,9,79,Country,39.5
Cuyahoga Falls,Darius Rucker,Blossom Music Center,0,49267,7,71,Country,32.0
Mountain View,Darius Rucker,Shoreline Amphitheatre,0,77846,8,71,Country,35.25
Auburn,Darius Rucker,White River Amphitheatre,1,74860,8,71,Country,35.0
West Palm Beach,Darius Rucker,Coral Sky Amphitheatre at the S. Florida Fairgrounds,1,102436,9,71,Country,35.25
Milwaukee,Darius Rucker,American Family Insurance Amphitheater-Summerfest,1,599164,9,71,Country,45.26
Chula Vista,Darius Rucker,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),1,256780,8,71,Country,34.75
Irvine,Jason Aldean,FivePoint Amphitheatre,1,236716,9,79,Country,55.5
Charlotte,Jason Aldean,PNC Music Pavilion,0,44349,8,79,Country,39.0
Bristow,Jason Aldean,Jiffy Lube Live,1,???,7,79,Country,40.0
Dallas,Jason Aldean,Dos Equis Pavilion,1,1257676,7,79,Country,41.75
Raleigh,Jason Aldean,Coastal Credit Union Music Park at Walnut Creek,1,431746,8,79,Country,39.0
Atlanta,Jason Aldean,SunTrust Park,1,447841,7,79,Country,35.5
Clarkston,Jason Aldean,DTE Energy Music Theatre,0,???,9,79,Country,30.75
Bethel,Jason Aldean,Bethel Woods Center for the Arts,0,???,7,79,Country,46.75
Silver Spring,Lil Pump,The Fillmore Silver Spring presented by Cricket Wireless,0,???,6,84,Hip-Hop/Rap,49.5
Allentown,Maren Morris,Allentown Fairgrounds,1,118577,9,82,Rock,39.0
Indianapolis,Panic! At The Disco,Bankers Life Fieldhouse,0,843393,7,84,Rock,30.75
West Palm Beach,Maren Morris,Coral Sky Amphitheatre at the S. Florida Fairgrounds,1,102436,9,82,Rock,47.0
Virginia Beach,Lynyrd Skynyrd,Veterans United Home Loans Amphitheater at Virginia Beach,0,448479,7,74,Rock,20.5
Cleveland,Savage,House of Blues Cleveland presented by Cricket Wireless,1,42774,9,89,Dance/Electronic,25.0
Raleigh,Lynyrd Skynyrd,Coastal Credit Union Music Park at Walnut Creek,0,431746,6,74,Rock,29.5
Nijmegen,Eminem,"Goffertpark, Nijmegen",0,???,7,91,Rock,456.0
Brooklyn,Bad Bunny,Barclays Center,0,78373,6,95,Other,76.0
Chicago,Sam Smith,United Center,0,2718782,8,86,Rock,35.0
Orlando,Sam Smith,Amway Center,0,255483,7,86,Rock,36.5
North Little Rock,MercyMe,Verizon Arena,1,66075,10,65,Rock,23.0
Oakland,Sam Smith,Oracle Arena,0,406253,9,86,Rock,37.0
Glendale,Sam Smith,Gila River Arena,0,196021,8,86,Rock,30.75
Sacramento,Sam Smith,Golden 1 Center,0,49891,8,86,Rock,35.0
Detroit,Sam Smith,Little Caesars Arena,0,688701,6,86,Rock,35.0
Alpharetta,Keith Urban,Verizon Amphitheatre,1,62298,7,77,Country,58.75
New Orleans,Sam Smith,Smoothie King Center,0,378715,7,86,Rock,32.0
Portland,Sam Smith,Moda Center,0,609456,9,86,Rock,35.0
Woodlands,Foster The People,The Cynthia Woods Mitchell Pavilion presented by Huntsman,0,???,7,77,Rock,35.5
San Antonio,MercyMe,Freeman Coliseum,1,1409019,10,65,Rock,20.0
Cincinnati,Grey,PNC PAVILION,1,297517,8,82,Rock,20.0
Wantagh,Lynyrd Skynyrd,Northwell Health at Jones Beach Theater,1,???,6,74,Rock,20.0
San Jose,Panic! At The Disco,SAP Center at San Jose,0,998537,8,84,Rock,27.75
Lexington,Brett Young,Rupp Arena,0,308428,10,71,Country,30.25
San Diego,Savage,Cal Coast Credit Union Open Air Theatre at SDSU,0,1355896,6,89,Hip-Hop/Rap,108.0
Boston,Leon Bridges,Agganis Arena,0,645966,10,76,R&B,37.0
Las Vegas,Leon Bridges,Pearl Concert Theater at Palms Casino Resort,1,226877,9,76,R&B,35.78
Hartford,Logic,XFINITY Theatre,1,125017,6,88,Hip-Hop/Rap,18.75
