event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
939,58,Mexico,home,56.0,Yellow card, Héctor Moreno ,sin información
940,58,Poland,away,58.0,Missed penalty, Robert Lewandowski , Missed penalty 
941,58,Mexico,home,71.0,Substitution, Carlos Rodríguez , Héctor Herrera 
942,58,Mexico,home,71.0,Substitution, Raúl Jiménez , Henry Martín 
943,58,Poland,away,72.0,Substitution, Przemysław Frankowski , Sebastian Szymański 
944,58,Poland,away,76.0,Yellow card, Przemysław Frankowski ,sin información
945,58,Mexico,home,84.0,Substitution, Uriel Antuna , Alexis Vega 
946,58,Poland,away,87.0,Substitution, Arek Milik , Piotr Zieliński 
947,59,Denmark,home,24.0,Yellow card, Rasmus Kristensen ,sin información
948,59,Denmark,home,46.0,Substitution, Mikkel Damsgaard , Thomas Delaney 
949,59,Denmark,home,65.0,Substitution, Mathias Jensen , Simon Kjær 
950,59,Denmark,home,65.0,Substitution, Jesper Lindstrøm , Andreas Skov Olsen 
951,59,Denmark,home,65.0,Substitution, Andreas Cornelius , Kasper Dolberg 
952,59,Tunisia,away,67.0,Substitution, Naïm Sliti , Anis Ben Slimane 
953,59,Denmark,home,78.0,Yellow card, Mathias Jensen ,sin información
954,59,Tunisia,away,80.0,Substitution, Hannibal Mejbri , Youssef Msakni 
955,59,Tunisia,away,80.0,Substitution, Taha Yassine Khenissi , Issam Jebali 
956,59,Tunisia,away,86.0,Yellow card, Taha Yassine Khenissi ,sin información
957,59,Tunisia,away,88.0,Substitution, Wajdi Kechrida , Mohamed Dräger 
958,59,Tunisia,away,88.0,Substitution, Ferjani Sassi , Aïssa Laïdouni 
959,60,Argentina,home,10.0,Penalty, Lionel Messi , Penalty 
960,60,Argentina,home,28.0,Disallowed goal,Disallowed goal,sin información
961,60,Saudi Arabia,away,49.0,Substitution, Nawaf Al-Abed , Salman Al-Faraj 
962,60,Saudi Arabia,away,48.0,Goal, Saleh Al-Shehri , Firas Al-Buraikan 
963,60,Saudi Arabia,away,53.0,Goal, Salem Al-Dawsari ,sin información
964,60,Argentina,home,59.0,Substitution, Lisandro Martínez , Cristian Romero 
965,60,Argentina,home,59.0,Substitution, Julián Álvarez , Papu Gómez 
966,60,Argentina,home,59.0,Substitution, Enzo Fernández , Leandro Paredes 
967,60,Saudi Arabia,away,67.0,Yellow card, Abdulellah Al-Malki ,sin información
968,60,Argentina,home,71.0,Substitution, Marcos Acuña , Nicolás Tagliafico 
969,60,Saudi Arabia,away,75.0,Yellow card, Ali Al-Bulaihi ,sin información
970,60,Saudi Arabia,away,78.0,Substitution, Sultan Al-Ghanam , Saleh Al-Shehri 
971,60,Saudi Arabia,away,79.0,Yellow card, Salem Al-Dawsari ,sin información
972,60,Saudi Arabia,away,82.0,Yellow card, Saud Abdulhamid ,sin información
973,60,Saudi Arabia,away,88.0,Substitution, Abdulelah Al-Amri , Nawaf Al-Abed 
974,60,Saudi Arabia,away,88.0,Yellow card, Nawaf Al-Abed ,sin información
975,60,Saudi Arabia,away,89.0,Substitution, Haitham Asiri , Firas Al-Buraikan 
